scheme_code,scheme_name,fund_house,category,subcategory,risk_grade
118632,Nippon Large Cap,Nippon India Mutual Fund,Equity,Large Cap,Moderately High
119092,Axis Bluechip,Axis Mutual Fund,Equity,Large Cap,Moderately High
119551,SBI Bluechip,SBI Mutual Fund,Equity,Large Cap,Moderate
120503,ICICI Bluechip,ICICI Prudential Mutual Fund,Equity,Large Cap,Moderately High
120841,Kotak Bluechip,Kotak Mahindra Mutual Fund,Equity,Large Cap,Moderate
125497,HDFC Top 100 Direct,HDFC Mutual Fund,Equity,Large Cap,Moderately High
